"artist_title"	"year"	"keep"	"rank"	"votes"	"artist"	"song"	"filename"	"source"
"Genka & Paul Oja - Kõik (Remix) "	2015	"TRUE"	2	1088	"Genka & Paul Oja"	"Kõik (Remix) "	"lyrics-genka_paul_oja-koik"	1
"Gerli Padar - Partner In Crime "	2007	"TRUE"	23	328	"Gerli Padar"	"Partner In Crime "	"lyrics-gerli_padar-partners_in_crime"	1
"Gerli Padar - Ühes Valges Toas "	2007	"TRUE"	18	406	"Gerli Padar"	"Ühes Valges Toas "	"lyrics-gerli_padar-uhes_valges_toas"	1
"Getter Jaani feat. Risto Vürst - Isa jälgedes "	2014	"TRUE"	11	277	"Getter Jaani"	"Isa jälgedes "	"lyrics-getter_jaani-isa_jalgedes"	1
"Getter Jaani Feat. Mihkel Raud - Me Kõik Jääme Vanaks "	2011	"TRUE"	4	890	"Getter Jaani"	"Me Kõik Jääme Vanaks "	"lyrics-getter_jaani-me_koik_jaame_vanaks"	1
"Getter Jaani ja Maia Vahtramäe - Meelelahutajad "	2013	"TRUE"	19	168	"Getter Jaani ja Maia Vahtramäe"	"Meelelahutajad "	"lyrics-getter_jaani-meelelahutajad"	1
"Getter Jaani - NYC taxi "	2012	"TRUE"	28	63	"Getter Jaani"	"NYC taxi "	"lyrics-getter_jaani-nyc_taxi"	1
"Getter Jaani ja Koit Toome - Rannamaja "	2014	"TRUE"	5	378	"Getter Jaani ja Koit Toome"	"Rannamaja "	"lyrics-getter_jaani-rannamaja"	1
"Getter Jaani - Rockefeller Street "	2011	"TRUE"	14	198	"Getter Jaani"	"Rockefeller Street "	"lyrics-getter_jaani-rockefeller_street"	1
"Getter Jaani Ja Koit Toome - Valged Ööd "	2011	"TRUE"	2	1049	"Getter Jaani Ja Koit Toome"	"Valged Ööd "	"lyrics-getter_jaani-valged_ood"	1
"Glow - Kui möödud sa "	2004	"TRUE"	22	161	"Glow"	"Kui möödud sa "	"lyrics-glow-kui_moodud_sa"	1
"Greip - Vihma Loits "	2011	"TRUE"	12	281	"Greip"	"Vihma Loits "	"lyrics-greip-vihma_loits"	1
"Grete Paia - Päästke noored hinged "	2013	"TRUE"	9	303	"Grete Paia"	"Päästke noored hinged "	"lyrics-grete_paia-paastke_noored_hinged"	1
"Grete Paia - Püüame droone "	2015	"TRUE"	24	69	"Grete Paia"	"Püüame droone "	"lyrics-grete_paia-puuame_droone"	1
"Grete Paia - San Sebastiano "	2013	"TRUE"	11	261	"Grete Paia"	"San Sebastiano "	"lyrics-grete_paia-san_sebastiano"	1
"Groundhog Day - Tagajärg "	2008	"TRUE"	16	347	"Groundhog Day"	"Tagajärg "	"lyrics-groundhog_day-tagajarg"	1
"Hanf Kung - Plekksüda "	2015	"TRUE"	23	79	"Hanf Kung"	"Plekksüda "	"lyrics-hanf_kung-plekksuda"	1
"Hannah - Fly Away "	2003	"TRUE"	18	275	"Hannah"	"Fly Away "	"lyrics-hannah-fly_away"	1
"Hannah - Loodan "	2003	"TRUE"	23	241	"Hannah"	"Loodan "	"lyrics-hannah-loodan"	1
"Hannah - Lõputud ööd "	2001	"TRUE"	9	550	"Hannah"	"Lõputud ööd "	"lyrics-hannah-loputud_ood"	1
"Hannah - Ma vaid palun "	2004	"TRUE"	39	78	"Hannah"	"Ma vaid palun "	"lyrics-hannah-ma_vaid_palun"	1
"Hannah - Never Be Same "	2003	"TRUE"	40	139	"Hannah"	"Never Be Same "	"lyrics-hannah-never_be_same"	1
"Hannah - Salaja "	2001	"TRUE"	3	1160	"Hannah"	"Salaja "	"lyrics-hannah-salaja"	1
"Hannah - Salaja "	2002	"TRUE"	18	272	"Hannah"	"Salaja "	"lyrics-hannah-salaja"	1
"Hannah - Shadow On The Wall "	2009	"TRUE"	31	134	"Hannah"	"Shadow On The Wall "	"lyrics-hannah-shadow_on_the_wall"	1
"Hannah - Sinuta (Without you) "	2002	"TRUE"	28	193	"Hannah"	"Sinuta (Without you) "	"lyrics-hannah-sinuta"	1
"Hannah - Veelkord "	2002	"TRUE"	5	802	"Hannah"	"Veelkord "	"lyrics-hannah-veelkord"	1
"HU? ja Marten Kuningas - Areen "	2012	"TRUE"	23	91	"HU? ja Marten Kuningas"	"Areen "	"lyrics-hannaliisa_uusma_hu_-areen"	1
"HU? Ja Kare Kauks - Miks Ainult Mõni Asi On Nii Hea "	2010	"TRUE"	29	123	"HU? Ja Kare Kauks"	"Miks Ainult Mõni Asi On Nii Hea "	"lyrics-hannaliisa_uusma_hu_-miks_ainult_moni_asi_on_nii_hea"	1
"Hu? - Absoluutselt "	2007	"TRUE"	12	580	"Hu?"	"Absoluutselt "	"lyrics-hannaliisa_uusma-absoluutselt"	1
"Hu? - Absoluutselt "	2008	"TRUE"	23	219	"Hu?"	"Absoluutselt "	"lyrics-hannaliisa_uusma-absoluutselt"	1
"HU? - Depressiivsed Eesti Väikelinnad "	2008	"TRUE"	4	957	"HU?"	"Depressiivsed Eesti Väikelinnad "	"lyrics-hannaliisa_uusma-depressiivsed_eesti_vaikelinnad"	1
"HU? - Elupõletaja "	2009	"TRUE"	5	485	"HU?"	"Elupõletaja "	"lyrics-hannaliisa_uusma-elupoletaja"	1
"Hu? - Kosmos "	2007	"TRUE"	24	289	"Hu?"	"Kosmos "	"lyrics-hannaliisa_uusma-kosmos"	1
"HU? - Mina Ise "	2009	"TRUE"	33	131	"HU?"	"Mina Ise "	"lyrics-hannaliisa_uusma-mina_ise"	1
"Hu? - Uv Faktor 5 "	2008	"TRUE"	24	211	"Hu?"	"Uv Faktor 5 "	"lyrics-hannaliisa_uusma-uv_faktor_5"	1
"Hedvig Hanson - Oodates sind "	1999	"TRUE"	31	86	"Hedvig Hanson"	"Oodates sind "	"lyrics-hedvig_hanson-oodates_sind"	1
"Heiti Kender - Armunu Reggae "	2000	"TRUE"	35	79	"Heiti Kender"	"Armunu Reggae "	"lyrics-heiti_kender-armunu_reggae"	1
"Helen Adamson - Sing it "	2014	"TRUE"	14	213	"Helen Adamson"	"Sing it "	"lyrics-helen_adamson-sing_it"	1
"Helen - Kas Tead "	2010	"TRUE"	14	236	"Helen"	"Kas Tead "	"lyrics-helen-kas_tead_"	1
"Helen - Kas Tead "	2011	"TRUE"	19	157	"Helen"	"Kas Tead "	"lyrics-helen-kas_tead_"	1
"Hellad Velled - London "	2013	"TRUE"	28	92	"Hellad Velled"	"London "	"lyrics-hellad_velled-london"	1
"Hellad Velled - Maia "	2004	"TRUE"	18	211	"Hellad Velled"	"Maia "	"lyrics-hellad_velled-maia"	1
"Herald - Masin "	2015	"TRUE"	33	40	"Herald"	"Masin "	"lyrics-herald-masin"	1
"HND - Kõverpeegli rahvas "	2009	"TRUE"	10	325	"HND"	"Kõverpeegli rahvas "	"lyrics-hnd-koverpeegli_rahvas"	1
"HND - Kui sa vaid saad "	2012	"TRUE"	34	53	"HND"	"Kui sa vaid saad "	"lyrics-hnd-kui_sa_vaid_saad"	1
"Hnd - Kui Sa Vaid Saad "	2007	"TRUE"	28	270	"Hnd"	"Kui Sa Vaid Saad "	"lyrics-hnd-kui_sa_vaid_saad"	1
"HND - Langenud Inglite Maal "	2009	"TRUE"	32	132	"HND"	"Langenud Inglite Maal "	"lyrics-hnd-langenud_inglite_maal"	1
"HND - Päikesepilkajad "	2009	"TRUE"	18	196	"HND"	"Päikesepilkajad "	"lyrics-hnd-paikesepilkajad"	1
"Hnd - Ütle Mis Sa Teed "	2007	"TRUE"	21	360	"Hnd"	"Ütle Mis Sa Teed "	"lyrics-hnd-utle_mis_sa_teed"	1
"House Of Games - Sinu unenäod "	1999	"TRUE"	26	103	"House Of Games"	"Sinu unenäod "	"lyrics-house_of_games-sinu_unenaod"	1
"Hovery Covery feat.Constance - Puudutus "	2001	"TRUE"	33	66	"Hovery Covery"	"Puudutus "	"lyrics-hovery_covery-puudutus"	1
"HVNS feat. Gerttu Kaunismaa - Inglid hoiavad silma peal "	2014	"TRUE"	29	108	"HVNS"	"Inglid hoiavad silma peal "	"lyrics-hvns-inglid_hoiavad_silma_peal"	1
"HVNS feat. Gerttu Kaunismaa - Tere hommikust "	2013	"TRUE"	39	71	"HVNS"	"Tere hommikust "	"lyrics-hvns-tere_hommikust"	1
"Ignorabimus - Ode To The Joy "	1999	"TRUE"	38	46	"Ignorabimus"	"Ode To The Joy "	"lyrics-ignorabimus-ode_to_the_joy"	1
"Iiris Vesik - Ice Cold Story "	2008	"TRUE"	37	140	"Iiris Vesik"	"Ice Cold Story "	"lyrics-iiris_vesik-ice-cold_story"	1
"Iiris - Melyse "	2011	"TRUE"	38	83	"Iiris"	"Melyse "	"lyrics-iiris-melyse"	1
"Iiris - Stranger "	2017	"TRUE"	35	57	"Iiris"	"Stranger "	"lyrics-iiris-stranger"	1
"Iiris - Weirdo "	2012	"TRUE"	39	48	"Iiris"	"Weirdo "	"lyrics-iiris-weirdo"	1
"Indrek Ventmann - Hispaania tüdruk "	2016	"TRUE"	35	46	"Indrek Ventmann"	"Hispaania tüdruk "	"lyrics-indrek_ventmann-hispaania_tudruk"	1
"Ines - 15 magamata ööd "	2005	"TRUE"	26	447	"Ines"	"15 magamata ööd "	"lyrics-ines-15_magamata_ood"	1
"Ines - Viisteist magamata ööd "	2004	"TRUE"	3	1488	"Ines"	"Viisteist magamata ööd "	"lyrics-ines-15_magamata_ood"	1
"Ines - Ei "	2005	"TRUE"	34	336	"Ines"	"Ei "	"lyrics-ines-ei"	1
"Ines - Highway To Nowhere "	2002	"TRUE"	7	618	"Ines"	"Highway To Nowhere "	"lyrics-ines-highway_to_nowhere"	1
"Ines - Illusion Of The Happiness "	1999	"TRUE"	16	316	"Ines"	"Illusion Of The Happiness "	"lyrics-ines-illusion_of_the_happiness"	1
"Ines - Iseendale "	2006	"TRUE"	17	441	"Ines"	"Iseendale "	"lyrics-ines-iseendale"	1
"Ines - Kallis, kas sa tead "	2004	"TRUE"	15	255	"Ines"	"Kallis, kas sa tead "	"lyrics-ines-kallis_kas_sa_tead"	1
"Ines - Keerlen "	2008	"TRUE"	25	200	"Ines"	"Keerlen "	"lyrics-ines-keerlen"	1
"Ines - Kustutame Vead "	2007	"TRUE"	34	195	"Ines"	"Kustutame Vead "	"lyrics-ines-kustutame_vead"	1
"Ines - Ma ei tea mis juhtuks "	2005	"TRUE"	19	706	"Ines"	"Ma ei tea mis juhtuks "	"lyrics-ines-ma_ei_tea_mis_juhtuks"	1
"Ines - Must ja valge "	2005	"TRUE"	4	3240	"Ines"	"Must ja valge "	"lyrics-ines-must_ja_valge"	1
"Ines - Once In a Lifetime "	2000	"TRUE"	1	2097	"Ines"	"Once In a Lifetime "	"lyrics-ines-once_in_a_lifetime"	1
"Ines - One And Only "	1999	"TRUE"	25	118	"Ines"	"One And Only "	"lyrics-ines-one_only"	1
"Ines - Pilvepiir "	2011	"TRUE"	30	105	"Ines"	"Pilvepiir "	"lyrics-ines-pilvepiir"	1
"Ines - Põlen sinu ees "	2014	"TRUE"	39	75	"Ines"	"Põlen sinu ees "	"lyrics-ines-polen_sinu_ees"	1
"Ines - That's All Because Of You "	2000	"TRUE"	18	225	"Ines"	"That's All Because Of You "	"lyrics-ines-that_s_all_because_of_you"	1
"Ines - Tule-Tule "	2011	"TRUE"	37	84	"Ines"	"Tule-Tule "	"lyrics-ines-tule_-_tule"	1
"Ines - Ükskord "	2009	"TRUE"	23	158	"Ines"	"Ükskord "	"lyrics-ines-ukskord"	1
"Ines - Väike saatan "	2004	"TRUE"	9	446	"Ines"	"Väike saatan "	"lyrics-ines-vaike_saatan"	1
"Ines - Väike saatan "	2005	"TRUE"	21	589	"Ines"	"Väike saatan "	"lyrics-ines-vaike_saatan"	1
"Ithaka Maria - Hopa'Pa-Rei "	2011	"TRUE"	31	98	"Ithaka Maria"	"Hopa'Pa-Rei "	"lyrics-ithaka_maria-hopa_pa-rei_"	1
"Ithaka Maria - Sinu Jaoks "	2009	"TRUE"	28	144	"Ithaka Maria"	"Sinu Jaoks "	"lyrics-ithaka_maria-sinu_jaoks"	1
"Ivo Linna - Suur loterii "	2017	"TRUE"	26	84	"Ivo Linna"	"Suur loterii "	"lyrics-ivo_linna-suur_loterii"	1
"J.M.K.E - Nr 1 "	2002	"TRUE"	31	180	"J.M.K.E"	"Nr 1 "	"lyrics-j_m_k_e-number_uks"	1
"Jääboiler - Lumevärv "	2003	"TRUE"	38	149	"Jääboiler"	"Lumevärv "	"lyrics-jaaboiler-lumevarv"	1
"Jam - Ainus Tee "	2002	"TRUE"	6	635	"Jam"	"Ainus Tee "	"lyrics-jam-ainus_tee"	1
"Jam - Ei pea iial "	2004	"TRUE"	20	180	"Jam"	"Ei pea iial "	"lyrics-jam-ei_pea_iial"	1
"Jam - Miks Minema Läed?"	1994	"TRUE"	22		"Jam"	"Miks Minema Läed?"	"lyrics-jam-miks_minema_laed"	1
"Jam - Naerjad Vihmas "	1998	"TRUE"	19	163	"Jam"	"Naerjad Vihmas "	"lyrics-jam-naerjad_vihmas"	1
"Jam - Ootan Tuult"	1994	"TRUE"	30		"Jam"	"Ootan Tuult"	"lyrics-jam-ootan_tuult"	1
"Jam - Ootus "	1995	"TRUE"	34	109	"Jam"	"Ootus "	"lyrics-jam-ootus"	1
"Jam - Petlik On Õnn"	1994	"TRUE"	28		"Jam"	"Petlik On Õnn"	"lyrics-jam-petlik_onn"	1
"Jam - See 5"	1994	"TRUE"	3		"Jam"	"See 5"	"lyrics-jam-see_viis"	1
"Jam - Su Järele Igatsen Ma"	1994	"TRUE"	6		"Jam"	"Su Järele Igatsen Ma"	"lyrics-jam-su_jarele_igatsen_ma"	1
"Jam - Tants Mida Tantsime"	1994	"TRUE"	18		"Jam"	"Tants Mida Tantsime"	"lyrics-jam-tants_mida_tantsisime"	1
"Jam - Veel Üks Kord "	2000	"TRUE"	23	123	"Jam"	"Veel Üks Kord "	"lyrics-jam-veel_uks_kord"	1
"Jaxy - Flying High "	1995	"TRUE"	38	104	"Jaxy"	"Flying High "	"lyrics-jaxy-flying_high"	1
"Jüri Homenja - Klaver "	2000	"TRUE"	16	246	"Jüri Homenja"	"Klaver "	"lyrics-juri_homenja-klaver"	1
"Jüri Homenja - Klaver "	2001	"TRUE"	19	143	"Jüri Homenja"	"Klaver "	"lyrics-juri_homenja-klaver"	1
"Jüri Pootsmann - Aga siis "	2015	"TRUE"	7	296	"Jüri Pootsmann"	"Aga siis "	"lyrics-juri_pootsmann-aga_siis"	1
"Jüri Pootsmann - Nii või naa "	2016	"TRUE"	37	39	"Jüri Pootsmann"	"Nii või naa "	"lyrics-juri_pootsmann-nii_voi_naa"	1
"Jüri Pootsmann - Play "	2016	"TRUE"	32	52	"Jüri Pootsmann"	"Play "	"lyrics-juri_pootsmann-play"	1
"Jüri Pootsmann - Täna "	2016	"TRUE"	13	125	"Jüri Pootsmann"	"Täna "	"lyrics-juri_pootsmann-tana"	1
"Jüri Pootsmann - Torm "	2015	"TRUE"	19	102	"Jüri Pootsmann"	"Torm "	"lyrics-juri_pootsmann-torm"	1
"Jüri Pootsmann - Vihmapiisad Päikest Täis "	2018	"TRUE"	33	77	"Jüri Pootsmann"	"Vihmapiisad Päikest Täis "	"lyrics-juri_pootsmann-vihmapiisad_paikest_tais"	1
"Justament - Teadjamees "	2000	"TRUE"	37	74	"Justament"	"Teadjamees "	"lyrics-justament-teadjamees"	1
"Kadi Toom - Laenatud päev "	2003	"TRUE"	31	176	"Kadi Toom"	"Laenatud päev "	"lyrics-kadi_toom-laenatud_paev"	1
"Kadi Toom - Leides "	2000	"TRUE"	27	108	"Kadi Toom"	"Leides "	"lyrics-kadi_toom-leides"	1
"Kadi Toom - Sinuta "	2002	"TRUE"	24	220	"Kadi Toom"	"Sinuta "	"lyrics-kadi_toom-sinuta_remix_"	1
"Kala - Buratino "	2004	"TRUE"	26	146	"Kala"	"Buratino "	"lyrics-kala-buratino_lugu"	1
"Kalm - Üksinduse Kuningas "	2000	"TRUE"	28	102	"Kalm"	"Üksinduse Kuningas "	"lyrics-kalm-uksinduse_kuningas"	1
"Kalmer Tennosaar - Vana Klaver "	2010	"TRUE"	5	554	"Kalmer Tennosaar"	"Vana Klaver "	"lyrics-kalmer_tennosaar-vana_klaver"	1
"Karl Madis - Sügis "	1995	"TRUE"	21	234	"Karl Madis"	"Sügis "	"lyrics-karl_madis-sugis"	1
"Karl-Erik Taukar - Kell kuus "	2014	"TRUE"	10	281	"Karl-Erik Taukar"	"Kell kuus "	"lyrics-karl-erik_taukar-kell_kuus"	1
"Karl-Erik Taukar - Lähedal "	2016	"TRUE"	21	93	"Karl-Erik Taukar"	"Lähedal "	"lyrics-karl-erik_taukar-lahedal"	1
"Karl-Erik Taukar - Salaja "	2018	"TRUE"	17	151	"Karl-Erik Taukar"	"Salaja "	"lyrics-karl-erik_taukar-salaja"	1
"Karl-Erik Taukar - Segased lood "	2015	"TRUE"	1	1609	"Karl-Erik Taukar"	"Segased lood "	"lyrics-karl-erik_taukar-segased_lood"	1
"Karl-Erik Taukar - Segased lood "	2016	"TRUE"	39	34	"Karl-Erik Taukar"	"Segased lood "	"lyrics-karl-erik_taukar-segased_lood"	1
"Karl-Erik Taukar - Seitse pühapäeva "	2017	"TRUE"	27	84	"Karl-Erik Taukar"	"Seitse pühapäeva "	"lyrics-karl-erik_taukar-seitse_puhapaeva"	1
"Karl-Erik Taukar - Seitsme tuule poole "	2013	"TRUE"	2	771	"Karl-Erik Taukar"	"Seitsme tuule poole "	"lyrics-karl-erik_taukar-seitsme_tuule_poole"	1
"Karl-Erik Taukar - Seitsme tuule poole "	2014	"TRUE"	37	86	"Karl-Erik Taukar"	"Seitsme tuule poole "	"lyrics-karl-erik_taukar-seitsme_tuule_poole"	1
"Karl-Erik Taukar - Tähti täis on öö "	2016	"TRUE"	2	798	"Karl-Erik Taukar"	"Tähti täis on öö "	"lyrics-karl-erik_taukar-tahti_tais_on_oo"	1
"Karl-Erik Taukar - Vastapandamatu "	2014	"TRUE"	3	490	"Karl-Erik Taukar"	"Vastapandamatu "	"lyrics-karl-erik_taukar-vastupandamatu"	1
"Kate - Perpetum Mobile "	1997	"TRUE"	36	100	"Kate"	"Perpetum Mobile "	"lyrics-kate-perpetuum_mobile"	1
"Zetod - Kats Sõsard Kargasõ "	2009	"TRUE"	29	138	"Zetod"	"Kats Sõsard Kargasõ "	"lyrics-kats_sosart_kargaso"	2
"Kerli - Army Of Love "	2010	"TRUE"	21	166	"Kerli"	"Army Of Love "	"lyrics-kerli_koiv-army_of_love"	1
"Kerli Kõiv - Beautiful Inside "	2004	"TRUE"	32	113	"Kerli Kõiv"	"Beautiful Inside "	"lyrics-kerli_koiv-beautiful_inside"	1
"Kerli - Creepshow "	2008	"TRUE"	17	342	"Kerli"	"Creepshow "	"lyrics-kerli_koiv-creepshow"	1
"Kerli - Spirit Animal "	2017	"TRUE"	10	256	"Kerli"	"Spirit Animal "	"lyrics-kerli_koiv-spirit_animal"	1
"Kerli - The lucky ones "	2012	"TRUE"	37	50	"Kerli"	"The lucky ones "	"lyrics-kerli_koiv-the_lucky_ones"	1
"Kerli - Walking On Air "	2008	"TRUE"	1	1622	"Kerli"	"Walking On Air "	"lyrics-kerli_koiv-walking_on_air"	1
"Ketikoerad - Mäng "	2010	"TRUE"	18	190	"Ketikoerad"	"Mäng "	"lyrics-ketikoerad-mang"	1
"Kirtana Rasa - Õhtu Viimased Read(Tunnetel On Kõla Remix) "	2010	"TRUE"	39	95	"Kirtana Rasa"	"Õhtu Viimased Read(Tunnetel On Kõla Remix) "	"lyrics-kirtana_rasa-ohtu_viimased_read_tunnetel_kohta_kola_remix_"	1
"Koer - Maiu on piimaauto "	2004	"TRUE"	13	259	"Koer"	"Maiu on piimaauto "	"lyrics-koer-maiu_on_piimaauto"	1
"Koit Toome - Kaugele Siit "	2009	"TRUE"	1	1296	"Koit Toome"	"Kaugele Siit "	"lyrics-koit_toome-kaugele_siit"	1
"Koit Toome - Kindel suund "	1999	"TRUE"	23	126	"Koit Toome"	"Kindel suund "	"lyrics-koit_toome-kindel_suund"	1
"Koit Toome - Mälestused "	2010	"TRUE"	1	1583	"Koit Toome"	"Mälestused "	"lyrics-koit_toome-malestused"	1
"Koit Toome - Mälestused "	2011	"TRUE"	35	88	"Koit Toome"	"Mälestused "	"lyrics-koit_toome-malestused"	1
"Koit Toome - Mere Lapsed"	1998	"TRUE"	5		"Koit Toome"	"Mere Lapsed"	"lyrics-koit_toome-mere_lapsed"	1
"Koit Toome - Nädalalõpp "	2010	"TRUE"	13	237	"Koit Toome"	"Nädalalõpp "	"lyrics-koit_toome-nadalalopp"	1
"Koit & Maarja - Puudutus 87 "	1998	"TRUE"	33	87	"Koit & Maarja"	"Puudutus 87 "	"lyrics-koit_toome-puudutus"	1
"Koit Toome - Sarah'le "	2000	"TRUE"	34	84	"Koit Toome"	"Sarah'le "	"lyrics-koit_toome-sarah_le"	1
"Koit Toome - Sind ootama jään "	1999	"TRUE"	32	76	"Koit Toome"	"Sind ootama jään "	"lyrics-koit_toome-sind_ootama_jaan"	1
"Koit Toome - Tagasi alguses "	2012	"TRUE"	14	206	"Koit Toome"	"Tagasi alguses "	"lyrics-koit_toome-tagasi_alguses"	1
"Koit Toome ja Laura - Verona "	2017	"TRUE"	18	137	"Koit Toome ja Laura"	"Verona "	"lyrics-koit_toome-verona"	1
"Koit Toome - Võitleja "	2013	"TRUE"	4	448	"Koit Toome"	"Võitleja "	"lyrics-koit_toome-voitleja"	1
"Kõrsikud - Suuda öelda ei "	2013	"TRUE"	22	135	"Kõrsikud"	"Suuda öelda ei "	"lyrics-korsikud-suuda_oelda_ei"	1
"Kosmikud - Kuidas tuli pimedus mu tuppa "	2003	"TRUE"	34	169	"Kosmikud"	"Kuidas tuli pimedus mu tuppa "	"lyrics-kosmikud-kuidas_tuli_pimedus_mu_tuppa"	1
"Kosmikud - Lydia Koidula haud "	2008	"TRUE"	30	178	"Kosmikud"	"Lydia Koidula haud "	"lyrics-kosmikud-lydia_koidula_haud"	1
"Kosmikud - Öö Ei Lase Magada "	2011	"TRUE"	23	138	"Kosmikud"	"Öö Ei Lase Magada "	"lyrics-kosmikud-oo_ei_lase_magada"	1
"Kosmikud - Pulmad Ja Matused "	2006	"TRUE"	25	305	"Kosmikud"	"Pulmad Ja Matused "	"lyrics-kosmikud-pulmad_ja_matused"	1
"Kristjan Kasearu & Paradise Crew - Jääda Iseendaks "	2008	"TRUE"	8	619	"Kristjan Kasearu & Paradise Crew"	"Jääda Iseendaks "	"lyrics-kristjan_kasearu-jaada_endaks"	1
"Kristjan Kasearu , Marvi Vallaste & Paradise Crew - Kuhu Unenäod Saata "	2008	"TRUE"	10	482	"Kristjan Kasearu , Marvi Vallaste & Paradise Crew"	"Kuhu Unenäod Saata "	"lyrics-kristjan_kasearu-kuhu_unenaod_saata"	1
"Kukerpillid - Tahan Lennata"	1998	"TRUE"	8		"Kukerpillid"	"Tahan Lennata"	"lyrics-kukerpillid-tahan_lennata"	1
"Külalised - Armastus On Armastus "	2008	"TRUE"	20	247	"Külalised"	"Armastus On Armastus "	"lyrics-kulalised-armastus_on_armastus"	1
"Kuldne Trio - Hopp Johanna "	1996	"TRUE"	14	394	"Kuldne Trio"	"Hopp Johanna "	"lyrics-kuldne_trio-hopp_johanna"	1
"Kuldne Trio - Kosmonaut Laika "	1995	"TRUE"	24	224	"Kuldne Trio"	"Kosmonaut Laika "	"lyrics-kuldne_trio-kosmonaut_laika"	1
"Kuldne Trio - Russkaja vodka "	1995	"TRUE"	13	310	"Kuldne Trio"	"Russkaja vodka "	"lyrics-kuldne_trio-russkaya_vodka"	1
"Laika Virgin - Ilusad Inimesed "	2010	"TRUE"	36	107	"Laika Virgin"	"Ilusad Inimesed "	"lyrics-laika_virgin-ilusad_inimesed"	1
"Laika Virgin - Nähtamatu "	2010	"TRUE"	25	145	"Laika Virgin"	"Nähtamatu "	"lyrics-laika_virgin-nahtamatu"	1
"DJ. X & Söbrad - Kooliaeg "	1995	"TRUE"	35	107	"DJ. X & Söbrad"	"Kooliaeg "	"lyrics-lastelaulud-kull_on_tahed_oh_kooliaeg_"	1
"Laura - 2020 "	2011	"TRUE"	9	359	"Laura"	2020	"lyrics-laura-2020"	1
"Laura - 581C "	2008	"TRUE"	11	428	"Laura"	"581C "	"lyrics-laura-581c"	1
"Laura - 94/95 "	2016	"TRUE"	16	112	"Laura"	94	"lyrics-laura-94_95"	1
"Laura - Destiny "	2009	"TRUE"	21	172	"Laura"	"Destiny "	"lyrics-laura-destiny_"	1
"Laura - Kustuta Kuuvalgus "	2011	"TRUE"	22	139	"Laura"	"Kustuta Kuuvalgus "	"lyrics-laura-kustuta_kuuvalgus"	1
"Laura feat. Tafenau - Lihtsad Asjad "	2008	"TRUE"	7	740	"Laura"	"Lihtsad Asjad "	"lyrics-laura-lihtsad_asjad"	1
"Laura - Moonwalk "	2005	"TRUE"	11	1113	"Laura"	"Moonwalk "	"lyrics-laura-moonwalk"	1
"Laura - Muusa "	2007	"TRUE"	3	1575	"Laura"	"Muusa "	"lyrics-laura-muusa"	1
"Laura - Pühakute Laul "	2009	"TRUE"	12	278	"Laura"	"Pühakute Laul "	"lyrics-laura-puhakute_laul"	1
"Laura - Südasuve Rohtunud Teed "	2010	"TRUE"	26	134	"Laura"	"Südasuve Rohtunud Teed "	"lyrics-laura-sudasuve_rohtunud_teed"	1
"Laura - Ultra "	2009	"TRUE"	11	297	"Laura"	"Ultra "	"lyrics-laura-ultra"	1
"Lauris Reiniks - Süda vaikselt närbub "	2012	"TRUE"	35	52	"Lauris Reiniks"	"Süda vaikselt närbub "	"lyrics-lauris_reiniks-suda_vaikelt_narbub"	1
"Lenna Kuurmaa - Kogu Tõde Jüriööst "	2010	"TRUE"	24	149	"Lenna Kuurmaa"	"Kogu Tõde Jüriööst "	"lyrics-lenna_kuurmaa-kogu_tode_jurioost"	1
"Lenna Kuurmaa - Loomeinimesed "	2008	"TRUE"	39	131	"Lenna Kuurmaa"	"Loomeinimesed "	"lyrics-lenna_kuurmaa-loomeinimesed"	1
"Lenna Kuurmaa - Mida Sa Teed "	2010	"TRUE"	27	131	"Lenna Kuurmaa"	"Mida Sa Teed "	"lyrics-lenna_kuurmaa-mida_sa_teed_"	1
"Lenna - Õnnelaul "	2011	"TRUE"	11	284	"Lenna"	"Õnnelaul "	"lyrics-lenna_kuurmaa-onnelaul"	1
"Lenna Kuurmaa - Rapunzel "	2010	"TRUE"	8	358	"Lenna Kuurmaa"	"Rapunzel "	"lyrics-lenna_kuurmaa-rapunzel"	1
"Lenna - Kolm korda "	2018	"TRUE"	6	342	"Lenna"	"Kolm korda "	"lyrics-lenna-kolm_korda"	1
"Lenna - Seal kus jäljed kaovad maast "	2013	"TRUE"	18	186	"Lenna"	"Seal kus jäljed kaovad maast "	"lyrics-lenna-seal_kus_jaljed_kaovad_maast"	1
"Leslie Da Bass - Naine "	2018	"TRUE"	36	73	"Leslie Da Bass"	"Naine "	"lyrics-leslie_da_bass-naine"	1
"Leslie Da Bass - Pisar "	2008	"TRUE"	33	174	"Leslie Da Bass"	"Pisar "	"lyrics-leslie_da_bass-pisar"	1
"Liis Lemsalu - Püüab meid "	2018	"TRUE"	23	126	"Liis Lemsalu"	"Püüab meid "	"lyrics-liis_lemsalu-puuab_meid"	1
"Liis Lemsalu - Shining Star "	2011	"TRUE"	7	497	"Liis Lemsalu"	"Shining Star "	"lyrics-liis_lemsalu-shining_star"	1
"Liis Lemsalu - Sinu ees "	2016	"TRUE"	6	268	"Liis Lemsalu"	"Sinu ees "	"lyrics-liis_lemsalu-sinu_ees"	1
