"artist_title"	"year"	"keep"	"rank"	"votes"	"artist"	"song"	"filename"	"source"
"Anaconda - Veel Veel Veel "	2000	"TRUE"	20	202	"Anaconda"	"Veel Veel Veel "	"lyrics-anaconda-veel_veel_veel"	1
"Antonina - Pakike "	2010	"TRUE"	32	117	"Antonina"	"Pakike "	"lyrics-antonina-pakike"	1
"Ariadne - Feel Me Now "	2017	"TRUE"	12	210	"Ariadne"	"Feel Me Now "	"lyrics-ariadne-feel_me_now"	1
"Arop - Kiki miki "	2017	"TRUE"	2	627	"Arop"	"Kiki miki "	"lyrics-arop-kiki_miki"	1
"Arop - Lase mul olla mina "	2017	"TRUE"	34	58	"Arop"	"Lase mul olla mina "	"lyrics-arop-lase_mul_olla_mina"	1
"Arop - Täna "	2017	"TRUE"	39	51	"Arop"	"Täna "	"lyrics-arop-tana"	1
"Artjom Savitski - Sinu juurde tagasi "	2012	"TRUE"	10	275	"Artjom Savitski"	"Sinu juurde tagasi "	"lyrics-artjom_savitski-sinu_juurde_tagasi"	1
"Artjom Savitski - Valin ise oma tee "	2015	"TRUE"	14	144	"Artjom Savitski"	"Valin ise oma tee "	"lyrics-artjom_savitski-valin_ise_oma_tee"	1
"August Hunt - Tantsulõvi "	2011	"TRUE"	15	191	"August Hunt"	"Tantsulõvi "	"lyrics-august_hunt-tantsulovi"	1
"August Hunt - Thomas Malthus On Surnud, Mu Arm "	2010	"TRUE"	20	177	"August Hunt"	"Thomas Malthus On Surnud, Mu Arm "	"lyrics-august_hunt-thomas_malthus_on_surnud_mu_arm"	1
"Bedwetters - Days Of Our Lives "	2007	"TRUE"	30	231	"Bedwetters"	"Days Of Our Lives "	"lyrics-bedwetters-days_of_our_lives"	1
"Bedwetters - Hayley "	2010	"TRUE"	33	112	"Bedwetters"	"Hayley "	"lyrics-bedwetters-hayley"	1
"Bedwetters - Long.Some.Distance "	2009	"TRUE"	8	441	"Bedwetters"	"Long.Some.Distance "	"lyrics-bedwetters-long_some_distance"	1
"Bedwetters - So Long Nanny "	2008	"TRUE"	13	379	"Bedwetters"	"So Long Nanny "	"lyrics-bedwetters-so_long_nanny"	1
"Beebilõust - Mendid "	2011	"TRUE"	36	85	"Beebilõust"	"Mendid "	"lyrics-beebiloust-mendid"	1
"Beebilõust - Vihakõne "	2015	"TRUE"	38	37	"Beebilõust"	"Vihakõne "	"lyrics-beebiloust-vihakone"	1
"Beep Shop Boys - Hakkaböö"	1994	"TRUE"	31		"Beep Shop Boys"	"Hakkaböö"	"lyrics-beep_shop_boys-hakaboo"	1
"Beep Shop Boys - Kuul"	1994	"TRUE"	23		"Beep Shop Boys"	"Kuul"	"lyrics-beep_shop_boys-kuul"	1
"Beep Shop Boys - Okasvärk"	1994	"TRUE"	34		"Beep Shop Boys"	"Okasvärk"	"lyrics-beep_shop_boys-okas_vark"	1
"Best B4 - Ma Armastan Luuserit "	1996	"TRUE"	1	1940	"Best B4"	"Ma Armastan Luuserit "	"lyrics-best_b4-ma_armastan_luuserit"	1
